1. Subject: use, Relation: is with, Object: almost restrictions whatsoever
2. Subject: anyone, Relation: is in, Object: anywhere United States
3. Subject: You, Relation: give away, Object: it
4. Subject: you, Relation: using, Object: eBook
5. Subject: exhibits, Relation: is in, Object: hall
6. Subject: enlarged hall, Relation: is in, Object: new Museum of History
7. Subject: industrial revolution, Relation: is in, Object: textile making
8. Subject: Carding, Relation: is, Object: thus important first step
9. Subject: United States, Relation: is in, Object: 1793
10. Subject: Smithsonian Institution, Relation: in, Object: United States National Museum
11. Subject: curator, Relation: is in, Object: Smithsonian Institution 's United States National Museum
12. Subject: textiles, Relation: Museum of, Object: History
13. Subject: individual short fibers, Relation: cleaned of, Object: foreign materials
14. Subject: they, Relation: can, Object: can spun into yarn
15. Subject: carded fibers, Relation: are, Object: laid
16. Subject: they, Relation: produce, Object: soft bulky yarn
17. Subject: thistles, Relation: is with, Object: hooked points
18. Subject: Fuller, Relation: has, Object: teasels now better known
19. Subject: board, Relation: is with, Object: wire teeth bent toward handle
20. Subject: second card, Relation: was dragged across, Object: it
21. Subject: First Machine, Relation: is in, Object: Lewis Paul 's British Patent 636
22. Subject: Lewis Paul, Relation: in, Object: British Patent 636
23. Subject: card-covered board B 1, Relation: is in, Object: horizontal direction as necessary
24. Subject: patent, Relation: described, Object: two machines
25. Subject: single card, Relation: held in, Object: hand
26. Subject: second machine, Relation: utilized, Object: horizontal cylinder covered with parallel rows of card clothing
27. Subject: comb, Relation: is with, Object: very fine needlelike metal teeth
28. Subject: his machine, Relation: was far from, Object: perfect
29. Subject: fibers, Relation: be carded by, Object: cylinder action
30. Subject: Paul, Relation: of, Object: Second Machine
31. Subject: Richard Arkwright, Relation: in, Object: British patent 1111 of December 16 1775
32. Subject: Most Important Single Feature Illustrated, Relation: is in, Object: Richard Arkwright 's British patent 1111 of December 16 1775
33. Subject: Daniel Bourn, Relation: first of, Object: roller-card type
34. Subject: several additional mechanical improvements, Relation: produce, Object: practical carding machine
35. Subject: Paul, Relation: of, Object: hand device
